Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 3060,17.3,No,1599.0
New,Acer,Aspire,Intel Core i5,8,512,SSD,MX 550,15.6,No,1209.01
New,Lenovo,V15,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,699.0
New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,RTX 3050,14.0,Yes,1163.02
New,Asus,VivoBook,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,499.0
New,Asus,ExpertBook,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,609.0
New,Asus,VivoBook,Intel Core i5,8,512,SSD,RTX 3050,14.0,Yes,899.0
New,Lenovo,IdeaPad,Intel Core i7,8,512,SSD,RTX 3050,14.0,No,999.0
New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,14.0,No,2549.01
New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,16.0,No,2599.01
New,Samsung,Galaxy Book,Intel Core i7,16,512,SSD,RTX 3050,13.3,No,1549.0
New,Asus,ExpertBook,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,849.0
New,MSI,Modern,Intel Core i5,16,512,SSD,RTX 3050,14.0,No,699.0
New,Lenovo,V15,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,345.0
New,Apple,MacBook Pro,Apple M2,8,256,SSD,RTX 3050,13.3,No,1619.0
New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 4050,15.6,No,1519.01
New,Acer,Nitro,AMD Ryzen 7,32,1000,SSD,RTX 3080,15.6,No,2299.0
New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,17.3,No,3099.99
New,Lenovo,V15,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,479.0
New,HP,250,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,629.01
New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,475.0
New,Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799.0
New,Lenovo,V15,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,449.0
New,Acer,Nitro,AMD Ryzen 7,16,1000,SSD,RTX 3050,15.6,No,1299.01
New,Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1999.0
New,Apple,MacBook Air,Apple M2,8,256,SSD,RTX 3050,13.6,No,1519.0
New,HP,Chromebook,Intel Celeron,4,64,eMMC,RTX 3050,14.0,No,379.0
New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4060,16.0,Yes,2729.01
New,Medion,Erazer,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,859.0
New,LG,Gram,Intel Evo Core i7,32,1000,SSD,RTX 3050,17.0,No,1809.01
New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,1899.0
New,HP,255,AMD Ryzen 3,8,512,SSD,RTX 3050,15.6,No,388.0
New,Lenovo,V15,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,499.0
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,944.82
New,Asus,ROG,Intel Core i7,32,1000,SSD,RTX 4080,16.0,No,2599.01
New,Asus,VivoBook,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,909.0
New,MSI,Summit,Intel Evo Core i7,16,1000,SSD,RTX 3050,13.4,Yes,1799.0
New,Asus,E410,Intel Celeron,4,64,eMMC,RTX 3050,14.0,No,452.0
New,HP,Pavilion,Intel Core i5,16,512,SSD,RTX 3050,14.0,No,899.01
New,LG,Ultra,Intel Core i7,16,1000,SSD,RTX 3050,17.0,No,1999.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1029.01
New,Lenovo,V15,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,509.0
New,Lenovo,V15,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,442.99
New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16.0,Yes,2499.0
New,Samsung,Galaxy Book,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,849.0
New,Dell,Vostro,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,690.15
New,Asus,ExpertBook,Intel Core i5,8,256,SSD,RTX 3050,14.0,Yes,1179.0
New,Asus,TUF,AMD Ryzen 9,32,1000,SSD,RTX 4070,17.3,No,1899.01
New,HP,Victus,Intel Core i7,32,512,SSD,RTX 3060,16.1,No,1499.01
New,Asus,TUF,AMD Ryzen 7,32,1000,SSD,RTX 3070,15.6,No,1889.0
New,Apple,MacBook Air,Apple M2,8,512,SSD,RTX 3050,13.6,No,1869.0
New,Lenovo,ThinkPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1129.0
New,MSI,Prestige,Intel Evo Core i7,32,1000,SSD,RTX 3050,13.3,No,1599.0
New,Lenovo,IdeaPad,Intel Celeron,8,64,eMMC,RTX 3050,14.0,No,391.0
